name,sex,count,year
William,M,6904,1907
James,M,6707,1907
George,M,4445,1907
Robert,M,4020,1907
Mary,F,17580,1907
Helen,F,7579,1907
Margaret,F,6713,1907
Anna,F,5575,1907
Ruth,F,5573,1907
John,M,8264,1906
William,M,6566,1906
James,M,5908,1906
George,M,4201,1906
Robert,M,3635,1906
Mary,F,16370,1906
Helen,F,7176,1906
Margaret,F,6096,1906
Anna,F,5502,1906
Ruth,F,5140,1906
John,M,8059,1905
William,M,6495,1905
James,M,6042,1905
George,M,4256,1905
Charles,M,3608,1905
Mary,F,16067,1905
Helen,F,6811,1905
Margaret,F,5690,1905
Anna,F,5424,1905
Ruth,F,5068,1905
John,M,8108,1904
William,M,6416,1904
James,M,5855,1904
George,M,4219,1904
Robert,M,3414,1904
Mary,F,14961,1904
Helen,F,6488,1904
Anna,F,5330,1904
Margaret,F,5302,1904
Ruth,F,4900,1904
John,M,7608,1903
William,M,6311,1903
James,M,5479,1903
George,M,3961,1903
Charles,M,3213,1903
Mary,F,14275,1903
Helen,F,6129,1903
Anna,F,5098,1903
Margaret,F,5046,1903
Ruth,F,4517,1903
John,M,7907,1902
William,M,6616,1902
James,M,5592,1902
George,M,4223,1902
Charles,M,3361,1902
Mary,F,14486,1902
Helen,F,5967,1902
Anna,F,5288,1902
Margaret,F,5011,1902
Ruth,F,4384,1902
John,M,6900,1901
William,M,5990,1901
James,M,4735,1901
George,M,3609,1901
Charles,M,3049,1901
Mary,F,13136,1901
Helen,F,5247,1901
Anna,F,4923,1901
Margaret,F,4424,1901
Ruth,F,3974,1901
John,M,9829,1900
William,M,8579,1900
James,M,7245,1900
George,M,5403,1900
Charles,M,4098,1900
Mary,F,16705,1900
Helen,F,6342,1900
Anna,F,6114,1900
Margaret,F,5304,1900
Ruth,F,4765,1900
John,M,6990,1899
William,M,6086,1899
James,M,4597,1899
George,M,4018,1899
Charles,M,3147,1899
Mary,F,13172,1899
Anna,F,5115,1899
Helen,F,5048,1899
Margaret,F,4249,1899
Ruth,F,3912,1899
John,M,8159,1898
William,M,7400,1898
James,M,5321,1898
George,M,4853,1898
Charles,M,3557,1898
Mary,F,14406,1898
Anna,F,5773,1898
Helen,F,5230,1898
Margaret,F,4696,1898
Ruth,F,4249,1898
John,M,7550,1897
William,M,7198,1897
James,M,5113,1897
George,M,4078,1897
Charles,M,3341,1897
Mary,F,13413,1897
Anna,F,5429,1897
Helen,F,4519,1897
Margaret,F,4146,1897
Ruth,F,3878,1897
John,M,8138,1896
William,M,7747,1896
James,M,5206,1896
George,M,4286,1896
Charles,M,3639,1896
Mary,F,13811,1896
Anna,F,5860,1896
Helen,F,4392,1896
Margaret,F,4050,1896
Ruth,F,3905,1896
John,M,8320,1895
William,M,7277,1895
James,M,5335,1895
George,M,4289,1895
Charles,M,3633,1895
Mary,F,13447,1895
Anna,F,5950,1895
Helen,F,4023,1895
Margaret,F,3931,1895
Elizabeth,F,3603,1895
John,M,8237,1894
William,M,7274,1894
James,M,5110,1894
George,M,4365,1894
Charles,M,3788,1894
Mary,F,13151,1894
Anna,F,5565,1894
Margaret,F,3700,1894
Helen,F,3676,1894
Elizabeth,F,3425,1894
John,M,8049,1893
William,M,7223,1893
James,M,5030,1893
George,M,4320,1893
Charles,M,3723,1893
Mary,F,12784,1893
Anna,F,5695,1893
Ruth,F,3658,1893
Margaret,F,3565,1893
Elizabeth,F,3360,1893
John,M,9039,1892
William,M,7782,1892
James,M,5398,1892
George,M,4760,1892
Charles,M,4319,1892
Mary,F,13172,1892
Anna,F,5542,1892
Elizabeth,F,3461,1892
Margaret,F,3435,1892
Ruth,F,3290,1892
John,M,7680,1891
William,M,6763,1891
James,M,4516,1891
George,M,3931,1891
Charles,M,3640,1891
Mary,F,11703,1891
Anna,F,5099,1891
Margaret,F,3065,1891
Elizabeth,F,3059,1891
Emma,F,2884,1891
John,M,8502,1890
William,M,7494,1890
James,M,5097,1890
George,M,4458,1890
Charles,M,4061,1890
Mary,F,12078,1890
Anna,F,5233,1890
Elizabeth,F,3112,1890
Margaret,F,3100,1890
Emma,F,2980,1890
John,M,8548,1889
William,M,7772,1889
James,M,5020,1889
George,M,4430,1889
Charles,M,4199,1889
Mary,F,11648,1889
Anna,F,5062,1889
Elizabeth,F,3058,1889
Margaret,F,2917,1889
Emma,F,2884,1889
John,M,9247,1888
William,M,8705,1888
James,M,5562,1888
George,M,4912,1888
Charles,M,4591,1888
Mary,F,11754,1888
Anna,F,4982,1888
Elizabeth,F,3224,1888
Emma,F,3087,1888
Margaret,F,2904,1888
John,M,8110,1887
William,M,7470,1887
James,M,4768,1887
George,M,4284,1887
Charles,M,4031,1887
Mary,F,9888,1887
Anna,F,4227,1887
Elizabeth,F,2681,1887
Emma,F,2647,1887
Margaret,F,2419,1887
John,M,9026,1886
William,M,8252,1886
James,M,5355,1886
George,M,4671,1886
Charles,M,4533,1886
Mary,F,9889,1886
Anna,F,4283,1886
Emma,F,2764,1886
Elizabeth,F,2680,1886
Minnie,F,2372,1886
John,M,8756,1885
William,M,8044,1885
James,M,5175,1885
George,M,4674,1885
Charles,M,4599,1885
Mary,F,9128,1885
Anna,F,3994,1885
Emma,F,2728,1885
Elizabeth,F,2582,1885
Margaret,F,2204,1885
John,M,9388,1884
William,M,8897,1884
James,M,5693,1884
George,M,4961,1884
Charles,M,4802,1884
Mary,F,9217,1884
Anna,F,3860,1884
Emma,F,2587,1884
Elizabeth,F,2549,1884
Minnie,F,2243,1884
John,M,8894,1883
William,M,8387,1883
James,M,5223,1883
Charles,M,4826,1883
George,M,4736,1883
Mary,F,8012,1883
Anna,F,3306,1883
Emma,F,2367,1883
Elizabeth,F,2255,1883
Minnie,F,2035,1883
John,M,9557,1882
William,M,9298,1882
James,M,5892,1882
George,M,5193,1882
Charles,M,5091,1882
Mary,F,8148,1882
Anna,F,3143,1882
Emma,F,2303,1882
Elizabeth,F,2186,1882
Minnie,F,2004,1882
John,M,8769,1881
William,M,8524,1881
James,M,5441,1881
George,M,4664,1881
Charles,M,4636,1881
Mary,F,6919,1881
Anna,F,2698,1881
Emma,F,2034,1881
Elizabeth,F,1852,1881
Margaret,F,1658,1881
John,M,9655,1880
William,M,9532,1880
James,M,5927,1880
Charles,M,5348,1880
George,M,5126,1880
Mary,F,7065,1880
Anna,F,2604,1880
Emma,F,2003,1880
Elizabeth,F,1939,1880
Minnie,F,1746,1880
